Phase,Compo1,Compo2,Compo3,Compo4,Compo5,Compo6,Compo7,Compo8,Eea (ev)_x,I1 (ev)_x,I2 (ev)_x,Tm (K)_x,AW_x,AN_x,Rm (nm)_x,Rc (nm)_x,Gp_x,P_x,VEC_x,sVEC_x,pVEC_x,dVEC_x,XP_x,XM_x,Cp (J/molK)_x,K (W/m)/K 300K_x,W_x,D_x,Hf (kJ/mol)_x,LP_x,Tb (K)_x,Element_y,Eea (ev)_y,I1 (ev)_y,I2 (ev)_y,Tm (K)_y,AW_y,AN_y,Rm (nm)_y,Rc (nm)_y,Gp_y,P_y,VEC_y,sVEC_y,pVEC_y,dVEC_y,XP_y,XM_y,Cp (J/molK)_y,K (W/m)/K 300K_y,W_y,D_y,Hf (kJ/mol)_y,LP_y,Tb (K)_y,Eea (ev)_x,I1 (ev)_x,I2 (ev)_x,Tm (K)_x,AW_x,AN_x,Rm (nm)_x,Rc (nm)_x,Gp_x,P_x,VEC_x,sVEC_x,pVEC_x,dVEC_x,XP_x,XM_x,Cp (J/molK)_x,K (W/m)/K 300K_x,W_x,D_x,Hf (kJ/mol)_x,LP_x,Tb (K)_x,Element_y,Eea (ev)_y,I1 (ev)_y,I2 (ev)_y,Tm (K)_y,AW_y,AN_y,Rm (nm)_y,Rc (nm)_y,Gp_y,P_y,VEC_y,sVEC_y,pVEC_y,dVEC_y,XP_y,XM_y,Cp (J/molK)_y,K (W/m)/K 300K_y,W_y,D_y,Hf (kJ/mol)_y,LP_y,Tb (K)_y,Eea (ev)_x,I1 (ev)_x,I2 (ev)_x,Tm (K)_x,AW_x,AN_x,Rm (nm)_x,Rc (nm)_x,Gp_x,P_x,VEC_x,sVEC_x,pVEC_x,dVEC_x,XP_x,XM_x,Cp (J/molK)_x,K (W/m)/K 300K_x,W_x,D_x,Hf (kJ/mol)_x,LP_x,Tb (K)_x,Element_y,Eea (ev)_y,I1 (ev)_y,I2 (ev)_y,Tm (K)_y,AW_y,AN_y,Rm (nm)_y,Rc (nm)_y,Gp_y,P_y,VEC_y,sVEC_y,pVEC_y,dVEC_y,XP_y,XM_y,Cp (J/molK)_y,K (W/m)/K 300K_y,W_y,D_y,Hf (kJ/mol)_y,LP_y,Tb (K)_y,Eea (ev)_x,I1 (ev)_x,I2 (ev)_x,Tm (K)_x,AW_x,AN_x,Rm (nm)_x,Rc (nm)_x,Gp_x,P_x,VEC_x,sVEC_x,pVEC_x,dVEC_x,XP_x,XM_x,Cp (J/molK)_x,K (W/m)/K 300K_x,W_x,D_x,Hf (kJ/mol)_x,LP_x,Tb (K)_x,Element_y,Eea (ev)_y,I1 (ev)_y,I2 (ev)_y,Tm (K)_y,AW_y,AN_y,Rm (nm)_y,Rc (nm)_y,Gp_y,P_y,VEC_y,sVEC_y,pVEC_y,dVEC_y,XP_y,XM_y,Cp (J/molK)_y,K (W/m)/K 300K_y,W_y,D_y,Hf (kJ/mol)_y,LP_y,Tb (K)_y
1,36.0,54.0,10.0,0.0,0.0,0.0,0.0,0.0,0.662,7.881,1.708.038,1768.15,589.332,27,0.1251,0.126,9,4,9,2,0,7,1.88,1.77,24.81,100.0,4.7,8.86,16.19,21.845,3200.15,Fe,0.153,7.903,1.618.801,1811.15,55.845,26,0.1241,0.132,8,4,8,2,0,6,1.83,1.68,25.1,80.2,4.65,7.87,13.8,11.552,3134.15,0.43328,6.634,1.316.267,2128.15,91.224,40.0,0.1603,0.175,4.0,5.0,4.0,2.0,0.0,2.0,1.33,1.49,25.36,22.7,4.0,6.52,16.9,46.999,4682.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5.0,75.5,19.5,0.0,0.0,0.0,0.0,0.0,0.662,7.881,1.708.038,1768.15,589.332,27,0.1251,0.126,9,4,9,2,0,7,1.88,1.77,24.81,100.0,4.7,8.86,16.19,21.845,3200.15,Ni,1.157,7.64,1.816.863,1728.15,586.934,28,0.1246,0.124,10,4,10,2,0,8,1.91,1.82,26.07,90.7,5.15,8.9,17.47,10.793,3186.15,0.747,10.487,1.976.473,317.35,3.097.376,15.0,0.106,0.107,15.0,3.0,5.0,2.0,3.0,0.0,2.19,2.27,23.824,0.235,5.1,2.16,0.657,2.010.332,553.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,70.3,14.0,15.7,0.0,0.0,0.0,0.0,0.0,0.662,7.881,1.708.038,1768.15,589.332,27,0.1251,0.126,9,4,9,2,0,7,1.88,1.77,24.81,100.0,4.7,8.86,16.19,21.845,3200.15,Mo,0.747,7.092,1.616.832,2896.15,95.95,42,0.1363,0.154,6,5,6,1,0,5,2.16,1.64,24.06,138.0,4.3,10.2,32.0,15.892,4912.15,0.43328,6.634,1.316.267,2128.15,91.224,40.0,0.1603,0.175,4.0,5.0,4.0,2.0,0.0,2.0,1.33,1.49,25.36,22.7,4.0,6.52,16.9,46.999,4682.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,70.0,10.0,20.0,0.0,0.0,0.0,0.0,0.0,0.662,7.881,1.708.038,1768.15,589.332,27,0.1251,0.126,9,4,9,2,0,7,1.88,1.77,24.81,100.0,4.7,8.86,16.19,21.845,3200.15,Cr,0.676,6.766,1.648.546,2180.15,519.961,24,0.1249,0.139,6,4,6,1,0,5,1.66,1.56,23.35,93.7,4.4,7.15,16.9,11.57,2944.15,0.747,10.487,1.976.473,317.35,3.097.376,15.0,0.106,0.107,15.0,3.0,5.0,2.0,3.0,0.0,2.19,2.27,23.824,0.235,5.1,2.16,0.657,2.010.332,553.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,73.0,12.9,14.1,0.0,0.0,0.0,0.0,0.0,0.662,7.881,1.708.038,1768.15,589.332,27,0.1251,0.126,9,4,9,2,0,7,1.88,1.77,24.81,100.0,4.7,8.86,16.19,21.845,3200.15,Gd,0.137,6.15,1.212.624,1585.15,157.25,64,0.1801,0.196,3,6,3,2,0,1,1.2,1.35,37.03,10.6,5.1,7.9,10.05,66.663,3546.15,0.747,7.092,1.616.832,2896.15,95.95,42.0,0.1363,0.154,6.0,5.0,6.0,1.0,0.0,5.0,2.16,1.64,24.06,138.0,4.3,10.2,32.0,15.892,4912.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,75.4,12.6,12.0,0.0,0.0,0.0,0.0,0.0,0.662,7.881,1.708.038,1768.15,589.332,27,0.1251,0.126,9,4,9,2,0,7,1.88,1.77,24.81,100.0,4.7,8.86,16.19,21.845,3200.15,Cr,0.676,6.766,1.648.546,2180.15,519.961,24,0.1249,0.139,6,4,6,1,0,5,1.66,1.56,23.35,93.7,4.4,7.15,16.9,11.57,2944.15,0.43328,6.634,1.316.267,2128.15,91.224,40.0,0.1603,0.175,4.0,5.0,4.0,2.0,0.0,2.0,1.33,1.49,25.36,22.7,4.0,6.52,16.9,46.999,4682.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,7.0,72.0,21.0,0.0,0.0,0.0,0.0,0.0,0.662,7.881,1.708.038,1768.15,589.332,27,0.1251,0.126,9,4,9,2,0,7,1.88,1.77,24.81,100.0,4.7,8.86,16.19,21.845,3200.15,Ni,1.157,7.64,1.816.863,1728.15,586.934,28,0.1246,0.124,10,4,10,2,0,8,1.91,1.82,26.07,90.7,5.15,8.9,17.47,10.793,3186.15,0.747,10.487,1.976.473,317.35,3.097.376,15.0,0.106,0.107,15.0,3.0,5.0,2.0,3.0,0.0,2.19,2.27,23.824,0.235,5.1,2.16,0.657,2.010.332,553.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,85.5,5.0,9.5,0.0,0.0,0.0,0.0,0.0,0.662,7.881,1.708.038,1768.15,589.332,27,0.1251,0.126,9,4,9,2,0,7,1.88,1.77,24.81,100.0,4.7,8.86,16.19,21.845,3200.15,W,0.816,7.864,1.761.932,3695.15,183.84,74,0.1367,0.162,6,6,6,2,0,4,2.36,1.79,24.27,174.0,4.55,19.3,35.4,16.191,5930.15,0.43328,6.634,1.316.267,2128.15,91.224,40.0,0.1603,0.175,4.0,5.0,4.0,2.0,0.0,2.0,1.33,1.49,25.36,22.7,4.0,6.52,16.9,46.999,4682.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,85.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.662,7.881,1.708.038,1768.15,589.332,27,0.1251,0.126,9,4,9,2,0,7,1.88,1.77,24.81,100.0,4.7,8.86,16.19,21.845,3200.15,Cr,0.676,6.766,1.648.546,2180.15,519.961,24,0.1249,0.139,6,4,6,1,0,5,1.66,1.56,23.35,93.7,4.4,7.15,16.9,11.57,2944.15,0.43328,6.634,1.316.267,2128.15,91.224,40.0,0.1603,0.175,4.0,5.0,4.0,2.0,0.0,2.0,1.33,1.49,25.36,22.7,4.0,6.52,16.9,46.999,4682.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,85.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.662,7.881,1.708.038,1768.15,589.332,27,0.1251,0.126,9,4,9,2,0,7,1.88,1.77,24.81,100.0,4.7,8.86,16.19,21.845,3200.15,Ni,1.157,7.64,1.816.863,1728.15,586.934,28,0.1246,0.124,10,4,10,2,0,8,1.91,1.82,26.07,90.7,5.15,8.9,17.47,10.793,3186.15,0.43328,6.634,1.316.267,2128.15,91.224,40.0,0.1603,0.175,4.0,5.0,4.0,2.0,0.0,2.0,1.33,1.49,25.36,22.7,4.0,6.52,16.9,46.999,4682.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,50.0,30.0,20.0,0.0,0.0,0.0,0.0,0.0,0.676,6.766,1.648.546,2180.15,519.961,24,0.1249,0.139,6,4,6,1,0,5,1.66,1.56,23.35,93.7,4.4,7.15,16.9,11.57,2944.15,Ni,1.157,7.64,1.816.863,1728.15,586.934,28,0.1246,0.124,10,4,10,2,0,8,1.91,1.82,26.07,90.7,5.15,8.9,17.47,10.793,3186.15,0.747,10.487,1.976.473,317.35,3.097.376,15.0,0.106,0.107,15.0,3.0,5.0,2.0,3.0,0.0,2.19,2.27,23.824,0.235,5.1,2.16,0.657,2.010.332,553.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5.0,31.35,63.65,0.0,0.0,0.0,0.0,0.0,0.676,6.766,1.648.546,2180.15,519.961,24,0.1249,0.139,6,4,6,1,0,5,1.66,1.56,23.35,93.7,4.4,7.15,16.9,11.57,2944.15,Ni,1.157,7.64,1.816.863,1728.15,586.934,28,0.1246,0.124,10,4,10,2,0,8,1.91,1.82,26.07,90.7,5.15,8.9,17.47,10.793,3186.15,0.43328,6.634,1.316.267,2128.15,91.224,40.0,0.1603,0.175,4.0,5.0,4.0,2.0,0.0,2.0,1.33,1.49,25.36,22.7,4.0,6.52,16.9,46.999,4682.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5.0,55.0,40.0,0.0,0.0,0.0,0.0,0.0,0.676,6.766,1.648.546,2180.15,519.961,24,0.1249,0.139,6,4,6,1,0,5,1.66,1.56,23.35,93.7,4.4,7.15,16.9,11.57,2944.15,Ni,1.157,7.64,1.816.863,1728.15,586.934,28,0.1246,0.124,10,4,10,2,0,8,1.91,1.82,26.07,90.7,5.15,8.9,17.47,10.793,3186.15,0.43328,6.634,1.316.267,2128.15,91.224,40.0,0.1603,0.175,4.0,5.0,4.0,2.0,0.0,2.0,1.33,1.49,25.36,22.7,4.0,6.52,16.9,46.999,4682.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,7.0,73.0,20.0,0.0,0.0,0.0,0.0,0.0,0.676,6.766,1.648.546,2180.15,519.961,24,0.1249,0.139,6,4,6,1,0,5,1.66,1.56,23.35,93.7,4.4,7.15,16.9,11.57,2944.15,Pd,0.562,8.337,1.938.125,1828.05,106.42,46,0.1375,0.139,10,5,10,0,0,10,2.2,1.83,25.98,71.8,5.0,12.0,17.6,15.447,3236.15,1.39,8.152,1.634.555,1687.15,28.085,14.0,0.1153,0.111,14.0,3.0,4.0,2.0,2.0,0.0,1.9,1.95,19.789,148.0,4.85,2.329,50.55,40.888,3538.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,12.5,70.5,17.0,0.0,0.0,0.0,0.0,0.0,1.236,7.726,2.029.227,1357.77,63.546,29,0.1278,0.132,11,4,11,1,0,10,1.9,1.85,24.44,401.0,4.7,8.96,13.05,11.872,2835.15,Pd,0.562,8.337,1.938.125,1828.05,106.42,46,0.1375,0.139,10,5,10,0,0,10,2.2,1.83,25.98,71.8,5.0,12.0,17.6,15.447,3236.15,1.39,8.152,1.634.555,1687.15,28.085,14.0,0.1153,0.111,14.0,3.0,4.0,2.0,2.0,0.0,1.9,1.95,19.789,148.0,4.85,2.329,50.55,40.888,3538.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,12.0,66.0,22.0,0.0,0.0,0.0,0.0,0.0,1.236,7.726,2.029.227,1357.77,63.546,29,0.1278,0.132,11,4,11,1,0,10,1.9,1.85,24.44,401.0,4.7,8.96,13.05,11.872,2835.15,Pd,0.562,8.337,1.938.125,1828.05,106.42,46,0.1375,0.139,10,5,10,0,0,10,2.2,1.83,25.98,71.8,5.0,12.0,17.6,15.447,3236.15,1.39,8.152,1.634.555,1687.15,28.085,14.0,0.1153,0.111,14.0,3.0,4.0,2.0,2.0,0.0,1.9,1.95,19.789,148.0,4.85,2.329,50.55,40.888,3538.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,15.0,55.0,30.0,0.0,0.0,0.0,0.0,0.0,1.236,7.726,2.029.227,1357.77,63.546,29,0.1278,0.132,11,4,11,1,0,10,1.9,1.85,24.44,401.0,4.7,8.96,13.05,11.872,2835.15,Hf,0.178,6.825,149.246,2506.15,178.49,72,0.1578,0.175,4,6,4,2,0,2,1.3,1.48,25.73,23.0,3.51,13.3,24.06,44.965,4876.15,1.157,7.64,1.816.863,1728.15,586.934,28.0,0.1246,0.124,10.0,4.0,10.0,2.0,0.0,8.0,1.91,1.82,26.07,90.7,5.15,8.9,17.47,10.793,3186.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,15.0,80.0,5.0,0.0,0.0,0.0,0.0,0.0,1.236,7.726,2.029.227,1357.77,63.546,29,0.1278,0.132,11,4,11,1,0,10,1.9,1.85,24.44,401.0,4.7,8.96,13.05,11.872,2835.15,Mg,-0.4,7.646,150.355,923.15,24.305,12,0.1601,0.141,2,3,2,2,0,0,1.31,1.67,24.869,156.0,3.66,1.74,8.954,204.748,1363.15,0.307,6.217,1.222.988,1799.15,8.890.585,39.0,0.1802,0.19,3.0,5.0,3.0,2.0,0.0,1.0,1.22,1.39,26.53,17.2,3.1,4.47,11.4,65.694,3609.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1.0,79.0,20.0,0.0,0.0,0.0,0.0,0.0,1.236,7.726,2.029.227,1357.77,63.546,29,0.1278,0.132,11,4,11,1,0,10,1.9,1.85,24.44,401.0,4.7,8.96,13.05,11.872,2835.15,Mg,-0.4,7.646,150.355,923.15,24.305,12,0.1601,0.141,2,3,2,2,0,0,1.31,1.67,24.869,156.0,3.66,1.74,8.954,204.748,1363.15,0.307,6.217,1.222.988,1799.15,8.890.585,39.0,0.1802,0.19,3.0,5.0,3.0,2.0,0.0,1.0,1.22,1.39,26.53,17.2,3.1,4.47,11.4,65.694,3609.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,20.0,60.0,20.0,0.0,0.0,0.0,0.0,0.0,1.236,7.726,2.029.227,1357.77,63.546,29,0.1278,0.132,11,4,11,1,0,10,1.9,1.85,24.44,401.0,4.7,8.96,13.05,11.872,2835.15,Ni,1.157,7.64,1.816.863,1728.15,586.934,28,0.1246,0.124,10,4,10,2,0,8,1.91,1.82,26.07,90.7,5.15,8.9,17.47,10.793,3186.15,0.43328,6.634,1.316.267,2128.15,91.224,40.0,0.1603,0.175,4.0,5.0,4.0,2.0,0.0,2.0,1.33,1.49,25.36,22.7,4.0,6.52,16.9,46.999,4682.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,29.0,60.0,11.0,0.0,0.0,0.0,0.0,0.0,1.236,7.726,2.029.227,1357.77,63.546,29,0.1278,0.132,11,4,11,1,0,10,1.9,1.85,24.44,401.0,4.7,8.96,13.05,11.872,2835.15,La,0.55,5.577,1.105.871,1193.15,138.91,57,0.1879,0.207,3,6,3,2,0,1,1.1,1.32,27.11,13.5,3.4,6.15,6.2,148.598,3737.15,0.052,5.695,1.102.969,1050.15,87.62,38.0,0.2152,0.195,2.0,5.0,2.0,2.0,0.0,0.0,0.95,1.24,26.4,35.3,2.76,2.64,8.3,54.611,1655.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,30.0,55.0,15.0,0.0,0.0,0.0,0.0,0.0,1.236,7.726,2.029.227,1357.77,63.546,29,0.1278,0.132,11,4,11,1,0,10,1.9,1.85,24.44,401.0,4.7,8.96,13.05,11.872,2835.15,Hf,0.178,6.825,149.246,2506.15,178.49,72,0.1578,0.175,4,6,4,2,0,2,1.3,1.48,25.73,23.0,3.51,13.3,24.06,44.965,4876.15,1.157,7.64,1.816.863,1728.15,586.934,28.0,0.1246,0.124,10.0,4.0,10.0,2.0,0.0,8.0,1.91,1.82,26.07,90.7,5.15,8.9,17.47,10.793,3186.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,30.0,40.0,30.0,0.0,0.0,0.0,0.0,0.0,1.236,7.726,2.029.227,1357.77,63.546,29,0.1278,0.132,11,4,11,1,0,10,1.9,1.85,24.44,401.0,4.7,8.96,13.05,11.872,2835.15,Mg,-0.4,7.646,150.355,923.15,24.305,12,0.1601,0.141,2,3,2,2,0,0,1.31,1.67,24.869,156.0,3.66,1.74,8.954,204.748,1363.15,0.307,6.217,1.222.988,1799.15,8.890.585,39.0,0.1802,0.19,3.0,5.0,3.0,2.0,0.0,1.0,1.22,1.39,26.53,17.2,3.1,4.47,11.4,65.694,3609.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,39.0,17.0,44.0,0.0,0.0,0.0,0.0,0.0,1.236,7.726,2.029.227,1357.77,63.546,29,0.1278,0.132,11,4,11,1,0,10,1.9,1.85,24.44,401.0,4.7,8.96,13.05,11.872,2835.15,Ti,0.076,6.828,1.357.517,1941.15,47.867,22,0.1462,0.16,4,4,4,2,0,2,1.54,1.46,25.06,21.9,4.1,4.506,15.45,51.316,3560.15,0.43328,6.634,1.316.267,2128.15,91.224,40.0,0.1603,0.175,4.0,5.0,4.0,2.0,0.0,2.0,1.33,1.49,25.36,22.7,4.0,6.52,16.9,46.999,4682.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,40.0,20.0,40.0,0.0,0.0,0.0,0.0,0.0,1.236,7.726,2.029.227,1357.77,63.546,29,0.1278,0.132,11,4,11,1,0,10,1.9,1.85,24.44,401.0,4.7,8.96,13.05,11.872,2835.15,Fe,0.153,7.903,1.618.801,1811.15,55.845,26,0.1241,0.132,8,4,8,2,0,6,1.83,1.68,25.1,80.2,4.65,7.87,13.8,11.552,3134.15,0.43328,6.634,1.316.267,2128.15,91.224,40.0,0.1603,0.175,4.0,5.0,4.0,2.0,0.0,2.0,1.33,1.49,25.36,22.7,4.0,6.52,16.9,46.999,4682.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,40.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,1.236,7.726,2.029.227,1357.77,63.546,29,0.1278,0.132,11,4,11,1,0,10,1.9,1.85,24.44,401.0,4.7,8.96,13.05,11.872,2835.15,La,0.55,5.577,1.105.871,1193.15,138.91,57,0.1879,0.207,3,6,3,2,0,1,1.1,1.32,27.11,13.5,3.4,6.15,6.2,148.598,3737.15,-0.4,7.646,150.355,923.15,24.305,12.0,0.1601,0.141,2.0,3.0,2.0,2.0,0.0,0.0,1.31,1.67,24.869,156.0,3.66,1.74,8.954,204.748,1363.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,44.0,16.0,40.0,0.0,0.0,0.0,0.0,0.0,1.236,7.726,2.029.227,1357.77,63.546,29,0.1278,0.132,11,4,11,1,0,10,1.9,1.85,24.44,401.0,4.7,8.96,13.05,11.872,2835.15,Ti,0.076,6.828,1.357.517,1941.15,47.867,22,0.1462,0.16,4,4,4,2,0,2,1.54,1.46,25.06,21.9,4.1,4.506,15.45,51.316,3560.15,0.43328,6.634,1.316.267,2128.15,91.224,40.0,0.1603,0.175,4.0,5.0,4.0,2.0,0.0,2.0,1.33,1.49,25.36,22.7,4.0,6.52,16.9,46.999,4682.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,45.0,20.0,35.0,0.0,0.0,0.0,0.0,0.0,1.236,7.726,2.029.227,1357.77,63.546,29,0.1278,0.132,11,4,11,1,0,10,1.9,1.85,24.44,401.0,4.7,8.96,13.05,11.872,2835.15,Ti,0.076,6.828,1.357.517,1941.15,47.867,22,0.1462,0.16,4,4,4,2,0,2,1.54,1.46,25.06,21.9,4.1,4.506,15.45,51.316,3560.15,0.43328,6.634,1.316.267,2128.15,91.224,40.0,0.1603,0.175,4.0,5.0,4.0,2.0,0.0,2.0,1.33,1.49,25.36,22.7,4.0,6.52,16.9,46.999,4682.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,45.0,25.0,30.0,0.0,0.0,0.0,0.0,0.0,1.236,7.726,2.029.227,1357.77,63.546,29,0.1278,0.132,11,4,11,1,0,10,1.9,1.85,24.44,401.0,4.7,8.96,13.05,11.872,2835.15,Ti,0.076,6.828,1.357.517,1941.15,47.867,22,0.1462,0.16,4,4,4,2,0,2,1.54,1.46,25.06,21.9,4.1,4.506,15.45,51.316,3560.15,0.43328,6.634,1.316.267,2128.15,91.224,40.0,0.1603,0.175,4.0,5.0,4.0,2.0,0.0,2.0,1.33,1.49,25.36,22.7,4.0,6.52,16.9,46.999,4682.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
